,County,Type of school,Professional qualification,0
314,Nimba,Community,Pre-service C Certificate,65.0
315,Nimba,Faith-based,AA Certificate,135.0
316,Nimba,Faith-based,B.Sc. in Education,112.0
317,Nimba,Faith-based,In-service B Certificate,37.0
318,Nimba,Faith-based,In-service C Certificate,176.0
319,Nimba,Faith-based,M.Sc. in Education,8.0
320,Nimba,Faith-based,No teaching certificate,287.0
321,Nimba,Faith-based,Pre-service B Certificate,8.0
322,Nimba,Faith-based,Pre-service C Certificate,152.0
323,Nimba,Private,AA Certificate,222.0
324,Nimba,Private,B.Sc. in Education,141.0
325,Nimba,Private,In-service B Certificate,33.0
326,Nimba,Private,In-service C Certificate,211.0
327,Nimba,Private,M.Sc. in Education,6.0
328,Nimba,Private,No teaching certificate,280.0
329,Nimba,Private,Pre-service B Certificate,25.0
330,Nimba,Private,Pre-service C Certificate,244.0
331,Nimba,Public,AA Certificate,290.0
332,Nimba,Public,B.Sc. in Education,146.0
333,Nimba,Public,In-service B Certificate,48.0
334,Nimba,Public,In-service C Certificate,1661.0
335,Nimba,Public,M.Sc. in Education,4.0
336,Nimba,Public,No teaching certificate,386.0
337,Nimba,Public,Pre-service B Certificate,105.0
338,Nimba,Public,Pre-service C Certificate,887.0
339,River Gee,Faith-based,AA Certificate,10.0
340,River Gee,Faith-based,B.Sc. in Education,10.0
341,River Gee,Faith-based,In-service B Certificate,3.0
342,River Gee,Faith-based,In-service C Certificate,40.0
343,River Gee,Faith-based,No teaching certificate,20.0
344,River Gee,Faith-based,Pre-service B Certificate,1.0
345,River Gee,Faith-based,Pre-service C Certificate,19.0
346,River Gee,Private,No teaching certificate,3.0
347,River Gee,Private,Pre-service C Certificate,11.0
348,River Gee,Public,AA Certificate,6.0
349,River Gee,Public,B.Sc. in Education,14.0
350,River Gee,Public,In-service B Certificate,20.0
351,River Gee,Public,In-service C Certificate,217.0
352,River Gee,Public,No teaching certificate,141.0
353,River Gee,Public,Pre-service B Certificate,4.0
354,River Gee,Public,Pre-service C Certificate,112.0
355,Rivercess,Community,In-service C Certificate,0.0
356,Rivercess,Faith-based,AA Certificate,5.0
357,Rivercess,Faith-based,In-service B Certificate,2.0
358,Rivercess,Faith-based,In-service C Certificate,4.0
359,Rivercess,Faith-based,No teaching certificate,15.0
360,Rivercess,Faith-based,Pre-service C Certificate,4.0
361,Rivercess,Private,AA Certificate,1.0
362,Rivercess,Private,In-service B Certificate,2.0
363,Rivercess,Private,In-service C Certificate,2.0
364,Rivercess,Public,AA Certificate,9.0
365,Rivercess,Public,B.Sc. in Education,8.0
366,Rivercess,Public,In-service B Certificate,4.0
367,Rivercess,Public,In-service C Certificate,57.0
368,Rivercess,Public,No teaching certificate,63.0
369,Rivercess,Public,Pre-service B Certificate,4.0
370,Rivercess,Public,Pre-service C Certificate,45.0
371,Sinoe,Community,No teaching certificate,3.0
372,Sinoe,Faith-based,AA Certificate,36.0
