,County,Professional qualification,count,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
208,Grand Gedeh,B.Sc. in Education,Tchien,0.0,6.0,28.0,46.0
209,Grand Gedeh,In-service B Certificate,Cavalla,1.0,7.0,8.0,0.0
210,Grand Gedeh,In-service B Certificate,Gbarzon,1.0,0.0,0.0,0.0
211,Grand Gedeh,In-service B Certificate,Putu,1.0,3.0,1.0,0.0
212,Grand Gedeh,In-service B Certificate,Tchien,6.0,6.0,3.0,1.0
213,Grand Gedeh,In-service C Certificate,Cavalla,54.0,131.0,40.0,3.0
214,Grand Gedeh,In-service C Certificate,Gbarzon,10.0,19.0,8.0,0.0
215,Grand Gedeh,In-service C Certificate,Konobo,53.0,77.0,11.0,3.0
216,Grand Gedeh,In-service C Certificate,Putu,6.0,10.0,1.0,0.0
217,Grand Gedeh,In-service C Certificate,Tchien,35.0,129.0,27.0,3.0
218,Grand Gedeh,M.Sc. in Education,Cavalla,0.0,1.0,0.0,1.0
219,Grand Gedeh,M.Sc. in Education,Tchien,0.0,2.0,0.0,0.0
220,Grand Gedeh,No teaching certificate,Cavalla,17.0,9.0,4.0,0.0
221,Grand Gedeh,No teaching certificate,Gbarzon,2.0,3.0,1.0,0.0
222,Grand Gedeh,No teaching certificate,Konobo,14.0,18.0,1.0,1.0
223,Grand Gedeh,No teaching certificate,Putu,11.0,13.0,0.0,0.0
224,Grand Gedeh,No teaching certificate,Tchien,41.0,52.0,10.0,1.0
225,Grand Gedeh,PhD in Education,Cavalla,0.0,0.0,0.0,0.0
226,Grand Gedeh,PhD in Education,Putu,0.0,0.0,0.0,0.0
227,Grand Gedeh,Pre-service B Certificate,Cavalla,1.0,4.0,6.0,0.0
228,Grand Gedeh,Pre-service B Certificate,Gbarzon,0.0,0.0,1.0,0.0
229,Grand Gedeh,Pre-service B Certificate,Tchien,1.0,5.0,7.0,3.0
230,Grand Gedeh,Pre-service C Certificate,Cavalla,31.0,46.0,5.0,0.0
231,Grand Gedeh,Pre-service C Certificate,Gbarzon,6.0,5.0,1.0,0.0
232,Grand Gedeh,Pre-service C Certificate,Konobo,11.0,14.0,0.0,0.0
233,Grand Gedeh,Pre-service C Certificate,Putu,2.0,14.0,1.0,0.0
234,Grand Gedeh,Pre-service C Certificate,Tchien,42.0,90.0,5.0,0.0
235,Grand Kru,AA Certificate,Barclayville,1.0,2.0,3.0,0.0
236,Grand Kru,AA Certificate,Buah,0.0,1.0,0.0,0.0
237,Grand Kru,AA Certificate,Dorbor,2.0,2.0,2.0,0.0
238,Grand Kru,AA Certificate,Grand Cess,0.0,1.0,0.0,0.0
239,Grand Kru,AA Certificate,Sass Town,0.0,0.0,1.0,2.0
240,Grand Kru,AA Certificate,Trehn,0.0,2.0,1.0,0.0
241,Grand Kru,AA Certificate,Wedabo,2.0,3.0,1.0,0.0
242,Grand Kru,B.Sc. in Education,Barclayville,0.0,2.0,6.0,19.0
243,Grand Kru,B.Sc. in Education,Buah,0.0,0.0,3.0,3.0
244,Grand Kru,B.Sc. in Education,Grand Cess,0.0,0.0,4.0,7.0
245,Grand Kru,B.Sc. in Education,Sass Town,0.0,0.0,0.0,6.0
246,Grand Kru,B.Sc. in Education,Trehn,0.0,0.0,4.0,9.0
247,Grand Kru,B.Sc. in Education,Wedabo,1.0,3.0,6.0,0.0
248,Grand Kru,In-service B Certificate,Grand Cess,1.0,0.0,0.0,0.0
249,Grand Kru,In-service B Certificate,Sass Town,0.0,1.0,1.0,0.0
250,Grand Kru,In-service B Certificate,Trehn,2.0,7.0,4.0,0.0
251,Grand Kru,In-service B Certificate,Wedabo,0.0,1.0,1.0,0.0
252,Grand Kru,In-service C Certificate,Barclayville,1.0,7.0,5.0,0.0
253,Grand Kru,In-service C Certificate,Buah,20.0,28.0,2.0,1.0
254,Grand Kru,In-service C Certificate,Dorbor,2.0,2.0,0.0,0.0
255,Grand Kru,In-service C Certificate,Grand Cess,1.0,9.0,6.0,3.0
256,Grand Kru,In-service C Certificate,Jloh,1.0,1.0,1.0,0.0
257,Grand Kru,In-service C Certificate,Sass Town,3.0,5.0,5.0,1.0
258,Grand Kru,In-service C Certificate,Trehn,3.0,14.0,6.0,0.0
259,Grand Kru,In-service C Certificate,Wedabo,3.0,10.0,2.0,0.0
260,Grand Kru,M.Sc. in Education,Barclayville,0.0,1.0,0.0,0.0
261,Grand Kru,No teaching certificate,Barclayville,12.0,31.0,8.0,9.0
262,Grand Kru,No teaching certificate,Buah,12.0,14.0,6.0,4.0
263,Grand Kru,No teaching certificate,Dorbor,6.0,12.0,3.0,1.0
264,Grand Kru,No teaching certificate,Grand Cess,3.0,6.0,1.0,0.0
265,Grand Kru,No teaching certificate,Jloh,12.0,17.0,6.0,0.0
266,Grand Kru,No teaching certificate,Sass Town,0.0,4.0,5.0,5.0
267,Grand Kru,No teaching certificate,Trehn,6.0,7.0,2.0,0.0
268,Grand Kru,No teaching certificate,Wedabo,11.0,9.0,0.0,0.0
269,Grand Kru,Pre-service B Certificate,Barclayville,0.0,0.0,1.0,0.0
270,Grand Kru,Pre-service B Certificate,Buah,0.0,0.0,1.0,1.0
271,Grand Kru,Pre-service B Certificate,Jloh,0.0,0.0,1.0,0.0
272,Grand Kru,Pre-service B Certificate,Sass Town,0.0,1.0,0.0,0.0
273,Grand Kru,Pre-service B Certificate,Trehn,1.0,3.0,0.0,0.0
274,Grand Kru,Pre-service B Certificate,Wedabo,1.0,2.0,2.0,0.0
275,Grand Kru,Pre-service C Certificate,Barclayville,24.0,64.0,24.0,1.0
276,Grand Kru,Pre-service C Certificate,Buah,3.0,23.0,4.0,0.0
277,Grand Kru,Pre-service C Certificate,Dorbor,0.0,6.0,3.0,0.0
278,Grand Kru,Pre-service C Certificate,Grand Cess,1.0,1.0,0.0,0.0
279,Grand Kru,Pre-service C Certificate,Jloh,3.0,9.0,6.0,0.0
280,Grand Kru,Pre-service C Certificate,Sass Town,2.0,10.0,8.0,0.0
281,Grand Kru,Pre-service C Certificate,Trehn,15.0,28.0,6.0,0.0
282,Grand Kru,Pre-service C Certificate,Wedabo,12.0,47.0,13.0,0.0
283,Lofa,AA Certificate,Foya,3.0,4.0,3.0,0.0
284,Lofa,AA Certificate,Kolahun 1,3.0,9.0,13.0,1.0
285,Lofa,AA Certificate,Kolahun 2,0.0,3.0,10.0,4.0
286,Lofa,AA Certificate,Vahun,0.0,1.0,0.0,0.0
287,Lofa,AA Certificate,Voinjama,6.0,16.0,14.0,10.0
288,Lofa,AA Certificate,Zorzor,0.0,5.0,7.0,7.0
289,Lofa,B.Sc. in Education,Foya,0.0,1.0,0.0,0.0
290,Lofa,B.Sc. in Education,Kolahun 1,0.0,0.0,0.0,1.0
291,Lofa,B.Sc. in Education,Voinjama,0.0,7.0,2.0,6.0
292,Lofa,B.Sc. in Education,Zorzor,1.0,0.0,0.0,3.0
293,Lofa,In-service B Certificate,Foya,0.0,6.0,2.0,0.0
294,Lofa,In-service B Certificate,Kolahun 1,0.0,0.0,1.0,0.0
295,Lofa,In-service B Certificate,Kolahun 2,1.0,3.0,0.0,1.0
296,Lofa,In-service B Certificate,Vahun,0.0,1.0,0.0,0.0
297,Lofa,In-service B Certificate,Voinjama,0.0,2.0,0.0,0.0
298,Lofa,In-service B Certificate,Zorzor,1.0,1.0,1.0,1.0
299,Lofa,In-service C Certificate,Foya,13.0,62.0,4.0,0.0
300,Lofa,In-service C Certificate,Kolahun 1,2.0,11.0,13.0,0.0
301,Lofa,In-service C Certificate,Kolahun 2,1.0,14.0,3.0,0.0
302,Lofa,In-service C Certificate,Salayea,1.0,1.0,0.0,0.0
303,Lofa,In-service C Certificate,Vahun,0.0,16.0,0.0,0.0
304,Lofa,In-service C Certificate,Voinjama,17.0,27.0,11.0,3.0
305,Lofa,In-service C Certificate,Zorzor,5.0,12.0,2.0,2.0
306,Lofa,M.Sc. in Education,Kolahun 1,0.0,0.0,0.0,0.0
307,Lofa,M.Sc. in Education,Zorzor,0.0,0.0,1.0,0.0
308,Lofa,No teaching certificate,Foya,27.0,79.0,6.0,0.0
309,Lofa,No teaching certificate,Kolahun 1,19.0,23.0,6.0,0.0
310,Lofa,No teaching certificate,Kolahun 2,24.0,47.0,6.0,0.0
311,Lofa,No teaching certificate,Vahun,0.0,6.0,0.0,0.0
312,Lofa,No teaching certificate,Voinjama,41.0,42.0,9.0,1.0
313,Lofa,No teaching certificate,Zorzor,13.0,26.0,9.0,15.0
314,Lofa,PhD in Education,Voinjama,1.0,0.0,0.0,0.0
315,Lofa,Pre-service B Certificate,Foya,1.0,3.0,1.0,0.0
316,Lofa,Pre-service B Certificate,Kolahun 1,0.0,1.0,0.0,0.0
317,Lofa,Pre-service B Certificate,Kolahun 2,1.0,1.0,0.0,0.0
318,Lofa,Pre-service B Certificate,Salayea,0.0,0.0,1.0,0.0
319,Lofa,Pre-service B Certificate,Voinjama,0.0,5.0,3.0,0.0
320,Lofa,Pre-service B Certificate,Zorzor,0.0,3.0,2.0,2.0
321,Lofa,Pre-service C Certificate,Foya,10.0,48.0,9.0,0.0
322,Lofa,Pre-service C Certificate,Kolahun 1,7.0,15.0,8.0,0.0
323,Lofa,Pre-service C Certificate,Kolahun 2,7.0,10.0,2.0,0.0
324,Lofa,Pre-service C Certificate,Vahun,0.0,2.0,0.0,0.0
325,Lofa,Pre-service C Certificate,Voinjama,9.0,19.0,2.0,0.0
326,Lofa,Pre-service C Certificate,Zorzor,15.0,65.0,22.0,3.0
327,Margibi,AA Certificate,Farmington,4.0,19.0,32.0,16.0
328,Margibi,AA Certificate,Gibi,0.0,4.0,3.0,0.0
329,Margibi,AA Certificate,Kakata 1,2.0,12.0,6.0,1.0
330,Margibi,AA Certificate,Kakata 2,4.0,6.0,19.0,4.0
331,Margibi,AA Certificate,Mama kaba,4.0,15.0,21.0,7.0
332,Margibi,AA Certificate,Marshall,5.0,7.0,12.0,9.0
333,Margibi,B.Sc. in Education,Farmington,11.0,19.0,33.0,29.0
334,Margibi,B.Sc. in Education,Gibi,0.0,1.0,1.0,0.0
335,Margibi,B.Sc. in Education,Kakata 1,2.0,6.0,9.0,5.0
336,Margibi,B.Sc. in Education,Kakata 2,2.0,7.0,17.0,38.0
337,Margibi,B.Sc. in Education,Mama kaba,1.0,9.0,8.0,13.0
338,Margibi,B.Sc. in Education,Marshall,0.0,3.0,10.0,17.0
339,Margibi,In-service B Certificate,Farmington,8.0,11.0,15.0,5.0
340,Margibi,In-service B Certificate,Gibi,1.0,1.0,0.0,0.0
341,Margibi,In-service B Certificate,Kakata 1,2.0,6.0,6.0,1.0
