County,Type of school,Professional qualification,0
River Gee,Public,B.Sc. in Education,14.0
River Gee,Public,In-service B Certificate,20.0
River Gee,Public,In-service C Certificate,217.0
River Gee,Public,No teaching certificate,141.0
River Gee,Public,Pre-service B Certificate,4.0
River Gee,Public,Pre-service C Certificate,112.0
Rivercess,Community,In-service C Certificate,0.0
Rivercess,Faith-based,AA Certificate,5.0
Rivercess,Faith-based,In-service B Certificate,2.0
Rivercess,Faith-based,In-service C Certificate,4.0
Rivercess,Faith-based,No teaching certificate,15.0
Rivercess,Faith-based,Pre-service C Certificate,4.0
Rivercess,Private,AA Certificate,1.0
Rivercess,Private,In-service B Certificate,2.0
Rivercess,Private,In-service C Certificate,2.0
Rivercess,Public,AA Certificate,9.0
Rivercess,Public,B.Sc. in Education,8.0
Rivercess,Public,In-service B Certificate,4.0
Rivercess,Public,In-service C Certificate,57.0
Rivercess,Public,No teaching certificate,63.0
Rivercess,Public,Pre-service B Certificate,4.0
Rivercess,Public,Pre-service C Certificate,45.0
Sinoe,Community,No teaching certificate,3.0
Sinoe,Faith-based,AA Certificate,36.0
Sinoe,Faith-based,B.Sc. in Education,25.0
Sinoe,Faith-based,In-service B Certificate,10.0
Sinoe,Faith-based,In-service C Certificate,49.0
Sinoe,Faith-based,M.Sc. in Education,2.0
Sinoe,Faith-based,No teaching certificate,94.0
Sinoe,Faith-based,Pre-service B Certificate,15.0
Sinoe,Faith-based,Pre-service C Certificate,49.0
Sinoe,Private,AA Certificate,24.0
Sinoe,Private,B.Sc. in Education,4.0
Sinoe,Private,In-service B Certificate,5.0
Sinoe,Private,In-service C Certificate,39.0
Sinoe,Private,No teaching certificate,59.0
Sinoe,Private,Pre-service B Certificate,2.0
Sinoe,Private,Pre-service C Certificate,50.0
Sinoe,Public,AA Certificate,33.0
Sinoe,Public,B.Sc. in Education,63.0
Sinoe,Public,In-service B Certificate,10.0
Sinoe,Public,In-service C Certificate,360.0
Sinoe,Public,No teaching certificate,317.0
Sinoe,Public,Pre-service B Certificate,21.0
Sinoe,Public,Pre-service C Certificate,199.0
