County,count,Professional qualification,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
Lofa,Foya,AA Certificate,3.0,4.0,3.0,0.0
Lofa,Foya,B.Sc. in Education,0.0,1.0,0.0,0.0
Lofa,Foya,In-service B Certificate,0.0,6.0,2.0,0.0
Lofa,Foya,In-service C Certificate,13.0,62.0,4.0,0.0
Lofa,Foya,No teaching certificate,27.0,79.0,6.0,0.0
Lofa,Foya,Pre-service B Certificate,1.0,3.0,1.0,0.0
Lofa,Foya,Pre-service C Certificate,10.0,48.0,9.0,0.0
Lofa,Kolahun 1,AA Certificate,3.0,9.0,13.0,1.0
Lofa,Kolahun 1,B.Sc. in Education,0.0,0.0,0.0,1.0
Lofa,Kolahun 1,In-service B Certificate,0.0,0.0,1.0,0.0
Lofa,Kolahun 1,In-service C Certificate,2.0,11.0,13.0,0.0
Lofa,Kolahun 1,M.Sc. in Education,0.0,0.0,0.0,0.0
Lofa,Kolahun 1,No teaching certificate,19.0,23.0,6.0,0.0
Lofa,Kolahun 1,Pre-service B Certificate,0.0,1.0,0.0,0.0
Lofa,Kolahun 1,Pre-service C Certificate,7.0,15.0,8.0,0.0
Lofa,Kolahun 2,AA Certificate,0.0,3.0,10.0,4.0
Lofa,Kolahun 2,In-service B Certificate,1.0,3.0,0.0,1.0
Lofa,Kolahun 2,In-service C Certificate,1.0,14.0,3.0,0.0
Lofa,Kolahun 2,No teaching certificate,24.0,47.0,6.0,0.0
Lofa,Kolahun 2,Pre-service B Certificate,1.0,1.0,0.0,0.0
Lofa,Kolahun 2,Pre-service C Certificate,7.0,10.0,2.0,0.0
Lofa,Salayea,In-service C Certificate,1.0,1.0,0.0,0.0
Lofa,Salayea,Pre-service B Certificate,0.0,0.0,1.0,0.0
Lofa,Vahun,AA Certificate,0.0,1.0,0.0,0.0
Lofa,Vahun,In-service B Certificate,0.0,1.0,0.0,0.0
Lofa,Vahun,In-service C Certificate,0.0,16.0,0.0,0.0
Lofa,Vahun,No teaching certificate,0.0,6.0,0.0,0.0
Lofa,Vahun,Pre-service C Certificate,0.0,2.0,0.0,0.0
Lofa,Voinjama,AA Certificate,6.0,16.0,14.0,10.0
Lofa,Voinjama,B.Sc. in Education,0.0,7.0,2.0,6.0
Lofa,Voinjama,In-service B Certificate,0.0,2.0,0.0,0.0
Lofa,Voinjama,In-service C Certificate,17.0,27.0,11.0,3.0
Lofa,Voinjama,No teaching certificate,41.0,42.0,9.0,1.0
Lofa,Voinjama,PhD in Education,1.0,0.0,0.0,0.0
Lofa,Voinjama,Pre-service B Certificate,0.0,5.0,3.0,0.0
Lofa,Voinjama,Pre-service C Certificate,9.0,19.0,2.0,0.0
Lofa,Zorzor,AA Certificate,0.0,5.0,7.0,7.0
Lofa,Zorzor,B.Sc. in Education,1.0,0.0,0.0,3.0
Lofa,Zorzor,In-service B Certificate,1.0,1.0,1.0,1.0
Lofa,Zorzor,In-service C Certificate,5.0,12.0,2.0,2.0
Lofa,Zorzor,M.Sc. in Education,0.0,0.0,1.0,0.0
Lofa,Zorzor,No teaching certificate,13.0,26.0,9.0,15.0
Lofa,Zorzor,Pre-service B Certificate,0.0,3.0,2.0,2.0
Lofa,Zorzor,Pre-service C Certificate,15.0,65.0,22.0,3.0
Margibi,Farmington,AA Certificate,4.0,19.0,32.0,16.0
Margibi,Farmington,B.Sc. in Education,11.0,19.0,33.0,29.0
Margibi,Farmington,In-service B Certificate,8.0,11.0,15.0,5.0
Margibi,Farmington,In-service C Certificate,28.0,86.0,44.0,10.0
Margibi,Farmington,M.Sc. in Education,1.0,1.0,3.0,5.0
Margibi,Farmington,No teaching certificate,42.0,60.0,19.0,3.0
Margibi,Farmington,PhD in Education,1.0,0.0,1.0,0.0
Margibi,Farmington,Pre-service B Certificate,1.0,6.0,8.0,6.0
Margibi,Farmington,Pre-service C Certificate,41.0,76.0,37.0,9.0
Margibi,Gibi,AA Certificate,0.0,4.0,3.0,0.0
Margibi,Gibi,B.Sc. in Education,0.0,1.0,1.0,0.0
Margibi,Gibi,In-service B Certificate,1.0,1.0,0.0,0.0
Margibi,Gibi,In-service C Certificate,12.0,35.0,6.0,0.0
Margibi,Gibi,No teaching certificate,13.0,18.0,1.0,0.0
Margibi,Gibi,Pre-service B Certificate,1.0,0.0,2.0,0.0
Margibi,Gibi,Pre-service C Certificate,12.0,36.0,1.0,1.0
Margibi,Kakata 1,AA Certificate,2.0,12.0,6.0,1.0
Margibi,Kakata 1,B.Sc. in Education,2.0,6.0,9.0,5.0
Margibi,Kakata 1,In-service B Certificate,2.0,6.0,6.0,1.0
Margibi,Kakata 1,In-service C Certificate,13.0,27.0,13.0,0.0
Margibi,Kakata 1,M.Sc. in Education,0.0,1.0,0.0,0.0
Margibi,Kakata 1,No teaching certificate,12.0,15.0,0.0,0.0
Margibi,Kakata 1,Pre-service B Certificate,0.0,8.0,6.0,3.0
Margibi,Kakata 1,Pre-service C Certificate,22.0,60.0,17.0,0.0
Margibi,Kakata 2,AA Certificate,4.0,6.0,19.0,4.0
Margibi,Kakata 2,B.Sc. in Education,2.0,7.0,17.0,38.0
Margibi,Kakata 2,In-service B Certificate,2.0,1.0,6.0,0.0
Margibi,Kakata 2,In-service C Certificate,2.0,8.0,10.0,3.0
Margibi,Kakata 2,M.Sc. in Education,0.0,1.0,1.0,7.0
Margibi,Kakata 2,No teaching certificate,17.0,24.0,4.0,0.0
Margibi,Kakata 2,Pre-service B Certificate,1.0,5.0,11.0,0.0
Margibi,Kakata 2,Pre-service C Certificate,33.0,112.0,33.0,5.0
Margibi,Mama kaba,AA Certificate,4.0,15.0,21.0,7.0
Margibi,Mama kaba,B.Sc. in Education,1.0,9.0,8.0,13.0
